"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31074","test","chromium","Mon Sep 08 17:25:18 IST 2025","passed","Mon Sep 08 17:25:50 IST 2025","","005_mouse-actions.spec.js","",""
"","2080","Search for a product","webkit","Tue Sep 09 10:00:35 IST 2025","failed","Tue Sep 09 10:00:37 IST 2025","Automation Exercise - Products Page Tests","spec\products.test.js","",""
"","2125","Add first product to cart and go to cart","chromium","Tue Sep 09 10:00:17 IST 2025","failed","Tue Sep 09 10:00:19 IST 2025","Automation Exercise - Products Page Tests","spec\products.test.js","",""
"","14682","should successfully log in with valid credentials","webkit","Fri Sep 12 11:42:36 IST 2025","passed","Fri Sep 12 11:42:50 IST 2025","OrangeHRM Login Scenarios","spec\login.test.js","",""
"","9610","should successfully log in with valid credentials","webkit","Wed Sep 10 12:06:08 IST 2025","passed","Wed Sep 10 12:06:18 IST 2025","OrangeHRM Login Scenarios","tests\spec\login.test.js","",""
"","11806","should successfully log in with valid credentials","chromium","Fri Sep 12 11:42:19 IST 2025","passed","Fri Sep 12 11:42:30 IST 2025","OrangeHRM Login Scenarios","spec\login.test.js","",""
"","11856","should successfully log in with valid credentials","firefox","Wed Sep 10 12:05:57 IST 2025","passed","Wed Sep 10 12:06:09 IST 2025","OrangeHRM Login Scenarios","tests\spec\login.test.js","",""
"","17767","should successfully log in with valid credentials","firefox","Fri Sep 12 11:42:19 IST 2025","passed","Fri Sep 12 11:42:36 IST 2025","OrangeHRM Login Scenarios","spec\login.test.js","",""
"","2822","Search for a product","firefox","Tue Sep 09 10:00:24 IST 2025","failed","Tue Sep 09 10:00:26 IST 2025","Automation Exercise - Products Page Tests","spec\products.test.js","",""
"","2373","Add first product to cart and go to cart","webkit","Tue Sep 09 10:00:35 IST 2025","failed","Tue Sep 09 10:00:37 IST 2025","Automation Exercise - Products Page Tests","spec\products.test.js","",""
"","73139","test","firefox","Mon Sep 08 17:25:19 IST 2025","passed","Mon Sep 08 17:26:32 IST 2025","","005_mouse-actions.spec.js","",""
"","9732","should successfully log in with valid credentials","chromium","Wed Sep 10 12:05:57 IST 2025","passed","Wed Sep 10 12:06:07 IST 2025","OrangeHRM Login Scenarios","tests\spec\login.test.js","",""
"","2856","Add first product to cart and go to cart","firefox","Tue Sep 09 10:00:24 IST 2025","failed","Tue Sep 09 10:00:27 IST 2025","Automation Exercise - Products Page Tests","spec\products.test.js","",""
"","6290","Search for a product","","Tue Sep 09 10:37:20 IST 2025","passed","Tue Sep 09 10:37:27 IST 2025","Automation Exercise - Products Page Tests","products.test.js","",""
"","2731","Search for a product","chromium","Tue Sep 09 10:00:17 IST 2025","failed","Tue Sep 09 10:00:20 IST 2025","Automation Exercise - Products Page Tests","spec\products.test.js","",""
"","30665","iFrame interactions example","firefox","Fri Sep 12 11:29:31 IST 2025","broken","Fri Sep 12 11:30:02 IST 2025","","yourtestfile.spec.js","",""
"","23972","iFrame interactions example","webkit","Fri Sep 12 11:30:03 IST 2025","passed","Fri Sep 12 11:30:27 IST 2025","","yourtestfile.spec.js","",""
"","7253","Add first product to cart and go to cart","","Tue Sep 09 10:37:52 IST 2025","passed","Tue Sep 09 10:38:00 IST 2025","Automation Exercise - Products Page Tests","products.test.js","",""
"","38770","test","webkit","Mon Sep 08 17:25:51 IST 2025","passed","Mon Sep 08 17:26:30 IST 2025","","005_mouse-actions.spec.js","",""
"","24864","iFrame interactions example","chromium","Fri Sep 12 11:29:31 IST 2025","passed","Fri Sep 12 11:29:56 IST 2025","","yourtestfile.spec.js","",""
